chunksize,time_ms
1 , 42.8107
2 , 43.6046
3 , 43.6143
4 , 42.3545
5 , 43.6455
6 , 43.8465
7 , 42.7914
8 , 43.1291
9 , 43.1022
10 , 42.3564
11 , 42.686
12 , 42.7826
13 , 42.2934
14 , 42.6596
15 , 42.7882
16 , 42.7362
17 , 43.2224
18 , 42.3569
19 , 42.9608
20 , 42.7422
21 , 42.7005
22 , 42.9373
23 , 43.1957
24 , 46.3695
25 , 47.8796
26 , 48.7219
27 , 48.5672
28 , 48.3531
29 , 47.8674
30 , 51.3513
31 , 49.375
32 , 48.4588
33 , 48.4638
34 , 49.1938
35 , 48.2379
36 , 47.8147
37 , 47.8299
38 , 48.0927
39 , 48.3245
40 , 49.4137
41 , 49.0935
42 , 47.5361
43 , 56.1951
44 , 51.6769
45 , 50.5987
46 , 47.818
47 , 47.8416
48 , 47.7931
49 , 49.9522
50 , 47.3767
51 , 48.527
52 , 47.5189
53 , 47.7805
54 , 48.6176
55 , 49.1561
56 , 48.7451
57 , 48.0894
58 , 47.2536
59 , 47.9977
60 , 48.7474
61 , 47.7449
62 , 51.5689
63 , 48.3389
64 , 48.267
65 , 47.8432
66 , 49.9104
67 , 48.1942
68 , 48.4408
69 , 61.9213
70 , 49.376
71 , 47.8237
72 , 48.8346
73 , 47.568
74 , 48.8241
75 , 49.0452
76 , 48.5141
77 , 47.6667
78 , 47.709
79 , 48.3355
80 , 48.4483
81 , 48.6753
82 , 48.2071
83 , 47.9819
84 , 48.5137
85 , 48.5637
86 , 48.6899
87 , 48.315
88 , 48.6744
89 , 47.7948
90 , 47.5281
91 , 49.1545
92 , 48.0655
93 , 48.667
94 , 50.5088
95 , 49.6299
96 , 48.4428
97 , 48.3527
98 , 47.9468
99 , 48.8832
100 , 48.404
