rank_count,data_count,app_time,histogram_time,total_time
1,50000000,688,530,2117
1,50000000,687,530,2091
1,50000000,690,533,2096
1,50000000,687,530,2099
1,50000000,688,530,2096
1,50000000,689,529,2098
1,50000000,692,535,2110
1,50000000,688,530,2095
1,50000000,688,530,2093
1,50000000,685,530,2115
1,100000000,1365,1061,3900
1,100000000,1426,1117,4010
1,100000000,1364,1061,3900
1,100000000,1374,1060,3676
1,100000000,1361,1060,3917
1,100000000,1363,1059,3898
1,100000000,1370,1060,3911
1,100000000,1365,1060,3900
1,100000000,1376,1085,4226
1,100000000,1365,1061,3900
1,200000000,2694,2122,7485
1,200000000,2698,2143,7489
1,200000000,2678,2124,7470
1,200000000,2685,2129,7492
1,200000000,2678,2123,7480
1,200000000,2697,2135,7484
1,200000000,2676,2122,7463
1,200000000,2680,2125,7474
1,200000000,2677,2123,7489
1,200000000,2679,2122,7465
2,50000000,401,274,1794
2,50000000,400,273,1803
2,50000000,400,274,1777
2,50000000,400,273,1820
2,50000000,400,273,1777
2,50000000,401,273,1785
2,50000000,413,283,1847
2,50000000,413,285,1836
2,50000000,401,273,1804
2,50000000,401,274,1802
2,100000000,799,546,3335
2,100000000,814,547,3694
2,100000000,796,548,3355
2,100000000,797,546,3354
2,100000000,799,547,3385
2,100000000,796,546,3324
2,100000000,797,547,3352
2,100000000,798,548,3341
2,100000000,801,546,3322
2,100000000,797,548,3340
2,200000000,1588,1093,6429
2,200000000,1582,1096,6442
2,200000000,1585,1096,6458
2,200000000,1584,1096,6462
2,200000000,1584,1096,6450
2,200000000,1586,1096,6444
2,200000000,1594,1108,7146
2,200000000,1628,1121,6616
2,200000000,1587,1095,6463
2,200000000,1629,1139,6621
4,50000000,314,140,1770
4,50000000,316,139,1751
4,50000000,312,139,1762
4,50000000,312,140,1775
4,50000000,313,139,1770
4,50000000,314,140,1761
4,50000000,315,140,1751
4,50000000,313,140,1769
4,50000000,313,140,1750
4,50000000,313,139,1765
4,100000000,597,280,3256
4,100000000,595,278,3238
4,100000000,598,279,3249
4,100000000,608,281,3255
4,100000000,601,280,3239
4,100000000,598,279,3221
4,100000000,592,277,3232
4,100000000,598,279,3268
4,100000000,600,280,3235
4,100000000,601,280,3243
4,200000000,1124,564,6121
4,200000000,1119,560,6130
4,200000000,1125,562,6135
4,200000000,1132,561,6126
4,200000000,1130,566,6123
4,200000000,1073,566,7107
4,200000000,1117,562,6115
4,200000000,1122,562,6121
4,200000000,1113,556,6133
4,200000000,1132,564,6165
8,50000000,265,75,1901
8,50000000,264,74,1909
8,50000000,263,75,1907
8,50000000,262,75,1918
8,50000000,264,75,1917
8,50000000,262,75,1924
8,50000000,263,75,1891
8,50000000,263,75,1873
8,50000000,260,74,1913
8,50000000,263,75,1903
8,100000000,461,151,3340
8,100000000,408,150,3859
8,100000000,462,149,3380
8,100000000,462,151,3377
8,100000000,460,150,3354
8,100000000,462,151,3369
8,100000000,461,151,3368
8,100000000,460,149,3316
8,100000000,461,150,3349
8,100000000,462,150,3355
8,200000000,831,302,6285
8,200000000,819,302,6275
8,200000000,825,300,6222
8,200000000,824,300,6261
8,200000000,832,302,6239
8,200000000,826,301,6242
8,200000000,824,300,6225
8,200000000,826,301,6253
8,200000000,825,300,6254
8,200000000,822,299,6219
16,50000000,222,37,2160
16,50000000,222,37,2096
16,50000000,225,37,2211
16,50000000,223,37,2213
16,50000000,224,37,2168
16,50000000,220,37,2258
16,50000000,222,37,2202
16,50000000,221,37,2168
16,50000000,224,37,2216
16,50000000,222,37,2153
16,100000000,382,75,3658
16,100000000,382,75,3558
16,100000000,378,75,3626
16,100000000,379,75,3593
16,100000000,380,75,3625
16,100000000,380,75,3595
16,100000000,378,75,3626
16,100000000,381,75,3646
16,100000000,379,75,3663
16,100000000,329,75,3947
16,200000000,684,150,6491
16,200000000,686,150,6451
16,200000000,694,150,6404
16,200000000,691,150,6434
16,200000000,687,150,6481
16,200000000,687,151,6465
16,200000000,691,151,6494
16,200000000,694,150,6445
16,200000000,691,150,6509
16,200000000,690,150,6450
32,50000000,589,18,2728
32,50000000,578,18,2704
32,50000000,580,18,2700
32,50000000,581,18,2697
32,50000000,604,18,2753
32,50000000,577,18,2764
32,50000000,586,18,2705
32,50000000,583,18,2727
32,50000000,582,18,2723
32,50000000,592,18,2727
32,100000000,701,37,4151
32,100000000,692,37,4095
32,100000000,694,37,4098
32,100000000,699,37,4132
32,100000000,709,37,4140
32,100000000,701,37,4099
32,100000000,741,37,4115
32,100000000,700,37,4142
32,200000000,976,75,6964
32,200000000,967,75,6974
32,200000000,967,75,6935
32,200000000,970,75,6984
32,200000000,966,75,6925
32,200000000,991,75,7002
32,200000000,963,75,6903
32,200000000,969,75,6960
32,200000000,969,75,6929
32,200000000,963,75,6867
64,50000000,1289,9,3324
64,50000000,1294,9,3377
64,50000000,1299,9,3370
64,50000000,1318,9,3374
64,50000000,1324,9,3557
64,50000000,1288,9,3349
64,50000000,1300,9,3326
64,50000000,1315,9,3315
64,50000000,1287,9,3295
64,50000000,1291,9,3305
64,100000000,1395,20,4658
64,100000000,1402,21,4717
64,100000000,1400,21,4649
64,100000000,1386,21,4663
64,100000000,1398,21,4710
64,100000000,1397,20,4634
64,100000000,1405,21,4638
64,100000000,1396,20,4625
64,100000000,1412,21,4670
64,100000000,1393,21,4706
64,200000000,1623,39,7468
64,200000000,1627,38,7391
64,200000000,1629,39,7377
64,200000000,1605,39,7426
64,200000000,1608,39,7383
64,200000000,1612,39,7426
64,200000000,1603,39,7456
64,200000000,1618,38,7457
64,200000000,1624,39,7407
64,200000000,1612,39,7437
