rank_count,data_count,app_time,histogram_time,total_time
1,50000000,755,584,2367
1,50000000,753,585,2342
1,50000000,755,588,2345
1,50000000,755,584,2345
1,50000000,753,584,2343
1,50000000,752,584,2345
1,50000000,753,584,2342
1,50000000,751,584,2336
1,50000000,756,584,2347
1,50000000,753,584,2345
1,100000000,1488,1171,4384
1,100000000,1487,1171,4379
1,100000000,1490,1173,4395
1,100000000,1487,1171,4379
1,100000000,1489,1173,4392
1,100000000,1492,1176,4382
1,100000000,1488,1172,4383
1,100000000,1488,1172,4383
1,100000000,1485,1171,4378
1,100000000,1491,1171,4389
1,200000000,2951,2339,8449
1,200000000,2950,2340,8452
1,200000000,2950,2341,8447
1,200000000,2951,2340,8462
1,200000000,2955,2339,8448
1,200000000,2954,2339,8432
1,200000000,2972,2340,8534
1,200000000,2957,2343,8454
1,200000000,2961,2350,8456
1,200000000,2961,2349,8457
2,50000000,425,291,1936
2,50000000,426,292,1928
2,50000000,426,292,1927
2,50000000,427,291,1926
2,50000000,427,292,1927
2,50000000,426,292,1938
2,50000000,426,292,1928
2,50000000,427,292,1930
2,50000000,426,292,1933
2,50000000,427,292,1934
2,100000000,865,585,3665
2,100000000,872,585,3949
2,100000000,873,594,3671
2,100000000,868,585,3667
2,100000000,873,606,3669
2,100000000,868,583,3664
2,100000000,869,595,3674
2,100000000,866,585,3668
2,100000000,877,604,3673
2,100000000,833,588,4156
2,200000000,1695,1172,7089
2,200000000,1699,1172,7101
2,200000000,1704,1173,7164
2,200000000,1696,1172,7088
2,200000000,1702,1171,7093
2,200000000,1694,1172,7095
2,200000000,1700,1170,7662
2,200000000,1702,1169,7098
2,200000000,1699,1171,7088
2,200000000,1702,1180,7089
4,50000000,316,145,1841
4,50000000,318,146,1851
4,50000000,315,145,1839
4,50000000,316,145,1845
4,50000000,316,146,1845
4,50000000,316,146,1847
4,50000000,317,145,1848
4,50000000,317,146,1847
4,50000000,315,145,1853
4,50000000,314,145,1839
4,100000000,575,291,3402
4,100000000,572,292,3399
4,100000000,585,291,3402
4,100000000,586,291,3401
4,100000000,588,291,3405
4,100000000,572,292,3403
4,100000000,584,292,3400
4,100000000,571,292,3406
4,100000000,583,292,3403
4,100000000,584,292,3416
4,200000000,1133,585,6560
4,200000000,1134,584,6536
4,200000000,1132,583,6529
4,200000000,1134,583,6528
4,200000000,1136,584,6540
4,200000000,1137,583,6533
4,200000000,1143,583,6543
4,200000000,1129,583,6528
4,200000000,1133,583,6529
4,200000000,1130,583,6529
8,50000000,257,73,1849
8,50000000,258,72,1866
8,50000000,257,73,1847
8,50000000,255,72,1853
8,50000000,258,73,1855
8,50000000,257,73,1873
8,50000000,258,72,1855
8,50000000,257,72,1850
8,50000000,254,73,1838
8,50000000,257,73,1846
8,100000000,453,146,3342
8,100000000,448,146,3339
8,100000000,450,145,3337
8,100000000,452,146,3364
8,100000000,453,145,3330
8,100000000,450,145,3339
8,100000000,450,146,3335
8,100000000,451,145,3350
8,100000000,450,146,3342
8,100000000,453,145,3360
8,200000000,795,291,6277
8,200000000,794,291,6256
8,200000000,796,291,6239
8,200000000,798,292,6269
8,200000000,796,291,6256
8,200000000,801,291,6277
8,200000000,794,291,6237
8,200000000,798,291,6422
8,200000000,800,291,6253
8,200000000,794,291,6259
16,50000000,215,36,1978
16,50000000,215,36,1982
16,50000000,214,36,2007
16,50000000,216,36,2002
16,50000000,215,36,1988
16,50000000,217,36,1978
16,50000000,215,36,1964
16,50000000,215,36,1980
16,50000000,217,36,2007
16,50000000,214,36,1969
16,100000000,366,73,3424
16,100000000,370,72,3408
16,100000000,368,73,3434
16,100000000,365,73,3418
16,100000000,370,72,3419
16,100000000,370,73,3445
16,100000000,369,72,3413
16,100000000,369,73,3433
16,100000000,365,73,3424
16,100000000,372,73,3429
16,200000000,676,145,6338
16,200000000,675,146,6320
16,200000000,682,146,6296
16,200000000,684,146,6329
16,200000000,640,146,6961
16,200000000,675,145,6298
16,200000000,630,146,5676
16,200000000,670,145,6312
16,200000000,676,145,6315
16,200000000,677,146,6289
32,50000000,184,19,2090
32,50000000,183,19,2079
32,50000000,187,19,2051
32,50000000,183,19,2035
32,50000000,183,19,2091
32,50000000,185,18,2069
32,50000000,182,19,2074
32,50000000,184,18,2088
32,50000000,184,18,2085
32,50000000,187,19,2048
32,100000000,309,38,3488
32,100000000,314,39,3477
32,100000000,309,39,3512
32,100000000,310,37,3480
32,100000000,313,39,3498
32,100000000,313,38,3543
32,100000000,312,39,3500
32,100000000,312,39,3517
64,50000000,202,9,2298
64,50000000,199,9,2234
64,50000000,204,9,2273
64,50000000,200,9,2252
64,50000000,200,9,2244
64,50000000,200,9,2082
64,50000000,199,9,2241
64,50000000,203,9,2283
64,50000000,197,9,2142
64,50000000,204,9,2290
64,100000000,311,18,3595
64,100000000,312,19,3670
64,100000000,307,19,3627
64,100000000,305,19,3690
64,100000000,311,19,3677
64,100000000,312,19,3983
64,100000000,308,18,3601
64,100000000,310,19,3627
64,200000000,498,39,6386
