threads,curves,program_time,curve_time
2,64,446.693,148.761
2,64,156.958,148.851
2,64,156.987,148.926
2,64,157.54,149.724
2,64,155.19,150.413
2,64,159.417,151.378
2,64,154.682,150.059
2,64,156.379,151.796
2,64,156.537,148.765
2,64,157.364,149.099
2,128,307.119,302.534
2,128,306.134,297.965
2,128,305.801,297.632
2,128,305.395,297.393
2,128,304.479,299.811
2,128,305.443,300.766
2,128,304.569,299.848
2,128,304.525,299.712
2,128,305.682,297.418
2,128,304.401,299.78
2,256,603.827,599.155
2,256,606.609,601.92
2,256,604.246,599.545
2,256,613.902,605.621
2,256,604.953,600.118
2,256,609.768,601.544
2,256,610.831,606.224
2,256,606.048,597.79
2,256,614.346,609.76
2,256,606.347,598.187
2,512,1218.51,1210.4
2,512,1207.89,1199.65
2,512,1202.8,1197.97
2,512,1207.59,1199.32
2,512,1202.82,1198.01
2,512,1217.73,1213.01
2,512,1209.64,1204.78
2,512,1205.63,1197.55
2,512,1208.23,1199.95
2,512,1218.01,1213.3
2,1024,2405.6,2397.37
2,1024,2415.54,2407.24
2,1024,2402.68,2397.89
2,1024,2416.09,2407.84
2,1024,2429.31,2424.51
2,1024,2398.53,2393.85
2,1024,2394.22,2389.55
2,1024,2402.68,2394.27
2,1024,2415.71,2407.67
2,1024,2406.34,2398.1
4,64,67.3712,50.7936
4,64,73.0033,52.2119
4,64,67.0854,50.4989
4,64,63.2668,50.5998
4,64,64.1335,50.8489
4,64,66.9184,50.7524
4,64,66.976,50.5842
4,64,66.6827,50.7242
4,64,65.9048,50.3511
4,64,68.0044,51.7792
4,128,120.702,100.61
4,128,121.706,100.844
4,128,119.552,100.584
4,128,121.026,100.63
4,128,120.872,100.665
4,128,121.405,101.266
4,128,121.568,100.877
4,128,119.994,101.325
4,128,118.129,101.205
4,128,120.805,100.643
4,256,224.714,202.473
4,256,223.028,202.796
4,256,223.651,201.521
4,256,225.861,202.862
4,256,224.06,201.637
4,256,222.534,202.21
4,256,223.713,202.091
4,256,223.999,202.307
4,256,220.791,202.352
4,256,225.969,202.391
4,512,433.211,403.994
4,512,430.143,404.157
4,512,431.704,404.922
4,512,431.729,401.972
4,512,432.834,402.593
4,512,433.227,404.147
4,512,433.986,403.643
4,512,438.712,404.601
4,512,434.083,404.456
4,512,437.861,403.997
4,1024,851.373,807.936
4,1024,846.319,804.608
4,1024,843.071,800.98
4,1024,858.584,808.752
4,1024,850.629,806.131
4,1024,848.177,808.272
4,1024,855.233,807.584
4,1024,857.945,808.424
4,1024,853.808,807.154
4,1024,845.576,806.463
8,64,52.3835,21.9343
8,64,52.5578,21.8746
8,64,52.3466,21.8244
8,64,53.6202,21.9462
8,64,51.958,21.906
8,64,51.8395,21.8272
8,64,53.7525,21.9511
8,64,49.2785,22.1386
8,64,55.5147,22.7645
8,64,52.6911,22.7822
8,128,81.8931,45.3825
8,128,76.0938,43.3475
8,128,75.2748,44.2682
8,128,78.7726,43.8218
8,128,78.2195,44.3534
8,128,72.8695,43.7527
8,128,78.1723,43.8668
8,128,75.3086,43.4434
8,128,77.4618,44.2856
8,128,77.8887,43.9504
8,256,126.338,87.6279
8,256,123.429,86.7792
8,256,126.799,87.8771
8,256,124.429,86.5966
8,256,126.581,87.9976
8,256,129.363,87.8135
8,256,124.789,86.7743
8,256,123.12,86.3612
8,256,121.967,87.0691
8,256,124.859,86.8292
8,512,220.034,173.262
8,512,216.091,172.87
8,512,215.64,172.616
8,512,214.957,173.073
8,512,219.031,174.087
8,512,219.047,174.828
8,512,214.747,172.254
8,512,218.748,173.721
8,512,216.874,173.429
8,512,222.585,173.393
8,1024,405.191,346.497
8,1024,405.424,345.103
8,1024,408.304,345.932
8,1024,400.73,346.47
8,1024,405.145,344.947
8,1024,404.919,345.833
8,1024,401.916,346.011
8,1024,405.985,345.198
8,1024,397.792,346.133
8,1024,401.496,345.679
16,64,76.0971,10.8342
16,64,72.4315,10.8334
16,64,70.8578,10.7848
16,64,72.2555,10.8861
16,64,71.309,10.7064
16,64,74.087,11.058
16,64,74.5377,11.067
16,64,71.3893,10.8863
16,64,74.9547,10.8726
16,64,77.7856,10.9936
16,128,89.5404,20.9023
16,128,84.9826,20.9917
16,128,83.8291,21.4184
16,128,85.6335,20.8127
16,128,88.8305,21.189
16,128,85.037,21.2252
16,128,93.2525,21.9654
16,128,83.1001,20.6278
16,128,90.8642,21.3398
16,128,90.8455,21.9142
16,256,106.973,41.6469
16,256,107.473,41.8098
16,256,116.249,42.6737
16,256,106.402,42.1956
16,256,111.264,42.6887
16,256,111.865,41.7315
16,256,106.658,42.0387
16,256,112.44,42.8173
16,256,107.824,41.7371
16,256,108.685,41.5715
16,512,156.871,83.1233
16,512,153.167,81.6493
16,512,161.864,84.1424
16,512,151.837,82.1866
16,512,153.857,81.4835
16,512,152.079,81.2169
16,512,157.975,82.6031
16,512,150.888,81.5941
16,512,154.851,81.8356
16,512,151.34,81.904
16,1024,243.654,162.319
16,1024,249.997,166.915
16,1024,241.812,162.082
16,1024,243.673,161.882
16,1024,243.256,163.086
16,1024,244.472,162.25
16,1024,246.048,162.929
16,1024,241.474,163.307
16,1024,241.773,161.644
16,1024,243.05,163.853
32,64,174.91,11.6018
32,64,180.437,11.6928
32,64,176.221,11.2387
32,64,173.277,11.1194
32,64,177.424,10.7282
32,64,176.101,11.6155
32,64,181.381,11.8302
32,64,178.029,12.4592
32,64,173.186,12.2487
32,64,177.585,11.4753
32,128,179.929,15.7653
32,128,179.764,15.8395
32,128,191.026,17.6694
32,128,186.034,16.6843
32,128,184.164,15.3033
32,128,177.38,16.3801
32,128,187.725,17.2625
32,128,181.85,16.2789
32,128,183.702,15.5675
32,128,191.286,16.1551
32,256,193.234,29.5651
32,256,196.16,28.9013
32,256,204.152,28.6381
32,256,202.073,32.1438
32,256,203.539,31.5195
32,256,193.786,30.1269
32,256,197.361,27.67
32,256,191.283,29.4403
32,256,192.185,28.2627
32,256,193.106,30.9141
32,512,206.116,48.3931
32,512,210.755,48.7272
32,512,218.678,49.9429
32,512,215.914,52.4238
32,512,215.806,50.8926
32,512,218.35,50.1016
32,512,212.279,50.8474
32,512,210.336,47.5202
32,512,215.362,50.4199
32,512,207.478,48.3306
32,1024,250.628,87.3169
32,1024,251.771,87.9146
32,1024,253.466,89.1508
32,1024,249.956,88.021
32,1024,275.148,92.1432
32,1024,250.723,87.9736
32,1024,251.724,89.3026
32,1024,259.539,89.6881
32,1024,255.351,89.3335
32,1024,254.258,87.0254
64,64,276.058,34.4187
64,64,270.689,33.5397
64,64,280.526,32.9263
64,64,280.4,34.1115
64,64,276.648,30.3879
64,64,270.613,31.4292
64,64,278.966,31.1736
64,64,280.409,31.9448
64,64,273.172,32.5262
64,64,271.253,29.9581
64,128,279.468,32.6731
64,128,280.796,37.431
64,128,287.967,33.9786
64,128,277.704,34.2347
64,128,286.573,38.7633
64,128,281.443,35.4925
64,128,281.463,36.2062
64,128,284.165,35.0794
64,128,277.724,33.3225
64,128,284.594,39.5114
64,256,291.973,43.1714
64,256,278.438,38.9479
64,256,287.177,41.8239
64,256,282.968,40.9357
64,256,270.532,37.4322
64,256,278.84,38.1708
64,256,283.978,38.9091
64,256,287.628,38.4673
64,256,278.447,38.8363
64,256,282.575,37.0528
64,512,295.663,50.1302
64,512,298.384,47.6371
64,512,283.283,48.3322
64,512,289.385,48.0164
64,512,284.463,46.439
64,512,296.423,50.0157
64,512,290.391,50.1577
64,512,286.576,46.8932
64,512,290.128,50.4151
64,512,285.083,46.8463
64,1024,331.587,82.5707
64,1024,326.373,80.4656
64,1024,333.098,81.87
64,1024,322.644,79.087
64,1024,346.037,82.8015
64,1024,330.129,81.5991
64,1024,327.17,82.0833
64,1024,335.877,80.6705
64,1024,326.861,81.5206
64,1024,337.814,83.2842
