threads,curves,program_time,curve_time
1,64,291.648,155.005
1,64,160.04,154.712
1,64,157.484,153.841
1,64,157.479,153.586
1,64,157.376,153.606
1,64,158.593,154.939
1,64,158.753,154.899
1,64,158.551,154.899
1,64,157.301,153.663
1,64,158.599,154.944
1,128,313.49,309.851
1,128,311.025,307.076
1,128,311.064,307.055
1,128,313.725,309.722
1,128,311.111,307.06
1,128,313.708,309.765
1,128,311.088,307.109
1,128,310.904,307.038
1,128,310.911,306.994
1,128,310.968,307.045
1,256,620.511,616.583
1,256,626.372,622.289
1,256,627.578,623.347
1,256,626.665,622.554
1,256,621.229,617.116
1,256,621.386,617.313
1,256,626.016,622.222
1,256,620.808,616.628
1,256,622.22,618.193
1,256,627.058,623.256
1,512,1240.55,1236.05
1,512,1239.15,1234.84
1,512,1240.73,1236.48
1,512,1239.82,1235.57
1,512,1240.3,1235.9
1,512,1240.59,1236.29
1,512,1240.21,1236.26
1,512,1250.92,1246.57
1,512,1237.33,1233.08
1,512,1240.41,1236.21
1,1024,2477.59,2473.18
1,1024,2477.54,2473.23
1,1024,2477.24,2473.18
1,1024,2474.49,2470.2
1,1024,2477.78,2473.2
1,1024,2477.5,2473.18
1,1024,2499.09,2494.58
1,1024,2498.38,2494.06
1,1024,2477.53,2473.12
1,1024,2498.96,2494.57
2,64,82.8889,78.4719
2,64,81.9342,78.3779
2,64,81.9952,78.3248
2,64,81.9056,78.4031
2,64,81.8584,78.327
2,64,81.8875,78.3286
2,64,81.6722,78.1807
2,64,82.5171,78.9944
2,64,81.761,78.3317
2,64,82.3381,78.8772
2,128,158.86,155.275
2,128,157.868,153.995
2,128,157.783,153.932
2,128,157.647,153.796
2,128,159.513,155.815
2,128,158.512,154.138
2,128,158.083,154.163
2,128,159.531,155.492
2,128,158.048,154.204
2,128,157.946,154.005
2,256,311.869,307.957
2,256,311.931,307.702
2,256,312.114,307.852
2,256,312.099,307.813
2,256,312.402,308.122
2,256,312.075,307.843
2,256,312.191,307.906
2,256,312.082,307.815
2,256,311.958,307.72
2,256,311.906,307.64
2,512,625.464,621.264
2,512,625.41,620.952
2,512,624.861,620.834
2,512,619.801,615.44
2,512,620.176,615.794
2,512,620.402,616.028
2,512,620.275,615.695
2,512,625.206,620.729
2,512,619.895,615.499
2,512,620.162,615.767
2,1024,1236.34,1231.76
2,1024,1235.67,1231.19
2,1024,1236.28,1231.82
2,1024,1235.87,1231.36
2,1024,1235.77,1231.17
2,1024,1247.08,1242.66
2,1024,1236.23,1231.74
2,1024,1235.84,1231.16
2,1024,1236.66,1232.36
2,1024,1236.39,1232.31
4,64,43.7685,39.651
4,64,42.3331,39.0788
4,64,41.9935,38.7014
4,64,41.9556,38.6615
4,64,42.0355,38.8109
4,64,41.9449,38.6806
4,64,42.5133,39.1987
4,64,41.8383,38.6386
4,64,42.0939,38.7564
4,64,42.1063,38.8436
4,128,78.69,75.4428
4,128,78.359,74.8559
4,128,78.2783,74.7788
4,128,78.202,74.792
4,128,78.2837,74.8203
4,128,79.0098,75.5622
4,128,78.5868,75.0438
4,128,84.8862,81.2697
4,128,79.6618,75.6818
4,128,78.4026,74.8375
4,256,153.084,149.552
4,256,153.322,149.429
4,256,153.308,149.465
4,256,153.263,149.576
4,256,153.309,149.483
4,256,153.424,149.613
4,256,154.797,151.058
4,256,154.508,150.78
4,256,153.445,149.641
4,256,153.239,149.535
4,512,302.664,298.505
4,512,303.206,298.82
4,512,303.416,298.996
4,512,303.608,299.202
4,512,303.627,299.133
4,512,303.281,298.824
4,512,305.843,301.374
4,512,303.121,298.672
4,512,303.352,298.855
4,512,303.695,299.261
4,1024,601.963,597.487
4,1024,601.819,597.669
4,1024,602.331,597.873
4,1024,602.513,598.072
4,1024,602.533,598.044
4,1024,607.17,602.645
4,1024,602.483,597.995
4,1024,602.358,597.88
4,1024,602.261,597.756
4,1024,602.324,597.866
8,64,24.6239,19.909
8,64,23.591,19.9058
8,64,23.4313,19.8101
8,64,23.5662,20.0418
8,64,23.3899,19.7597
8,64,24.0999,20.5149
8,64,23.6039,20.094
8,64,23.5728,20.0498
8,64,23.4484,19.8334
8,64,23.5555,19.961
8,128,40.5722,37.1007
8,128,42.1995,38.4362
8,128,42.1991,38.4235
8,128,44.5151,40.7635
8,128,40.6015,36.7358
8,128,41.1676,37.3356
8,128,44.5203,40.5881
8,128,40.5371,36.7777
8,128,40.9285,37.0545
8,128,40.8537,36.9723
8,256,76.8188,73.0242
8,256,80.1046,75.9577
8,256,77.8824,73.8201
8,256,78.8884,74.6947
8,256,76.9648,72.9324
8,256,77.3949,73.3551
8,256,77.7747,73.6556
8,256,77.1176,73.2043
8,256,77.2996,73.6055
8,256,76.92,73.175
8,512,149.36,145.681
8,512,149.436,145.556
8,512,149.192,145.339
8,512,149.431,145.435
8,512,150.189,146.305
8,512,149.36,145.449
8,512,150.516,146.649
8,512,149.547,145.658
8,512,150.701,146.758
8,512,149.481,145.61
8,1024,296.628,292.773
8,1024,296.707,292.702
8,1024,294.782,290.263
8,1024,293.804,289.331
8,1024,294.892,290.421
8,1024,294.385,289.904
8,1024,294.687,290.123
8,1024,294.654,290.151
8,1024,294.597,290.057
8,1024,294.399,290.512
16,64,14.8666,10.8154
16,64,14.1993,10.7362
16,64,14.3314,10.8954
16,64,15.1536,11.9069
16,64,14.0377,10.6879
16,64,14.2796,10.8447
16,64,15.1169,11.6626
16,64,14.7959,11.3886
16,64,13.8703,10.5812
16,64,14.6739,11.3283
16,128,24.1772,20.7986
16,128,25.2172,21.7139
16,128,24.0572,20.6384
16,128,25.8202,22.2368
16,128,25.5115,22.0522
16,128,23.9369,20.4912
16,128,25.769,22.2734
16,128,24.6292,20.7573
16,128,23.6852,19.8627
16,128,27.3117,23.42
16,256,43.4543,39.6035
16,256,46.9993,42.7755
16,256,48.0939,44.0236
16,256,41.4361,37.1419
16,256,43.4602,39.4081
16,256,43.5208,39.4327
16,256,43.604,39.5357
16,256,44.0624,39.9441
16,256,47.2334,43.071
16,256,43.4059,39.1503
16,512,80.1573,75.9701
16,512,84.0477,79.6725
16,512,81.757,77.4311
16,512,79.7193,75.2316
16,512,86.7763,82.4435
16,512,81.0744,76.7318
16,512,87.5049,83.6121
16,512,83.098,79.2734
16,512,78.5452,74.8379
16,512,85.0941,81.3049
16,1024,154.398,150.63
16,1024,158.862,154.922
16,1024,156.805,152.664
16,1024,154.653,150.682
16,1024,161.506,157.237
16,1024,163.173,159.182
16,1024,154.436,150.522
16,1024,160.864,156.947
16,1024,153.931,149.897
16,1024,149.021,145.024
20,64,22.7188,18.7661
20,64,21.605,18.1177
20,64,21.7925,18.3307
20,64,21.5566,18.1699
20,64,21.4587,18.0602
20,64,21.8673,18.4478
20,64,21.6476,18.21
20,64,21.7361,18.2836
20,64,21.6591,18.3133
20,64,23.1499,19.758
20,128,38.4642,35.0424
20,128,36.4453,32.8126
20,128,36.448,32.7712
20,128,36.3232,32.6119
20,128,38.6636,35.0519
20,128,35.8779,32.2715
20,128,38.8739,35.2695
20,128,35.5155,31.8828
20,128,36.4098,32.7674
20,128,38.9517,34.9475
20,256,65.9981,61.9614
20,256,68.2363,63.8915
20,256,66.6866,62.3371
20,256,72.4519,68.1807
20,256,68.3037,63.9916
20,256,66.1072,61.8802
20,256,69.4972,65.1923
20,256,72.159,67.7826
20,256,67.1788,62.7758
20,256,72.4229,68.0694
20,512,84.7233,80.436
20,512,84.8537,80.4382
20,512,86.8398,82.2957
20,512,86.6293,82.1667
20,512,86.2252,81.6058
20,512,85.1309,80.6029
20,512,94.7412,90.9614
20,512,84.5135,80.5517
20,512,84.3135,80.2505
20,512,85.1096,81.0531
20,1024,132.781,128.703
20,1024,148.698,144.7
20,1024,128.439,124.517
20,1024,133.849,129.93
20,1024,128.09,124.125
20,1024,137.176,133.167
20,1024,125.373,121.273
20,1024,125.758,121.83
20,1024,136.106,132.199
20,1024,130.753,126.789
23,64,55.6253,51.0845
23,64,54.2841,50.393
23,64,55.6084,51.1768
23,64,54.8639,50.9264
23,64,53.8155,49.9879
23,64,55.2243,51.3875
23,64,55.0755,51.2507
23,64,55.7659,51.9043
23,64,53.7203,50.3529
23,64,53.0741,49.619
23,128,48.4021,44.8773
23,128,46.2467,42.5658
23,128,46.4807,42.8371
23,128,46.3926,42.6855
23,128,48.3941,44.6245
23,128,46.0949,42.3374
23,128,46.3899,42.2466
23,128,48.6011,44.7942
23,128,48.3143,44.1515
23,128,46.1727,42.0934
23,256,34.6923,30.576
23,256,40.8031,36.6134
23,256,40.1312,36.5387
23,256,35.1808,31.4112
23,256,36.9811,33.3528
23,256,35.0759,31.214
23,256,35.4524,31.6502
23,256,40.0222,36.246
23,256,39.8425,35.9864
23,256,41.4335,37.4577
23,512,64.9609,60.7117
23,512,65.6181,61.2783
23,512,74.7204,70.2712
23,512,66.1977,61.7965
23,512,64.6371,60.2384
23,512,66.2943,61.9251
23,512,64.7109,60.3761
23,512,73.2508,69.0378
23,512,64.5627,60.1659
23,512,74.3271,69.8928
23,1024,131.48,127.089
23,1024,136.099,132.05
23,1024,122.205,118.161
23,1024,130.92,126.96
23,1024,128.32,124.215
23,1024,136.86,132.866
23,1024,127.205,123.084
23,1024,134.073,130.066
23,1024,131.819,127.3
23,1024,126.825,122.304
26,64,40.5087,35.8853
26,64,39.794,35.966
26,64,39.5276,35.5664
26,64,40.251,36.3641
26,64,40.2188,36.3577
26,64,39.4907,35.6469
26,64,39.3696,35.5658
26,64,45.9471,42.2864
26,64,39.8408,35.82
26,64,39.9791,36.1283
26,128,72.0767,68.2868
26,128,70.6424,66.5768
26,128,70.5823,66.54
26,128,74.1452,70.0476
26,128,71.8585,68.0651
26,128,70.2665,66.5634
26,128,71.5338,67.7888
26,128,70.4798,66.8136
26,128,70.9471,67.2869
26,128,70.5019,66.8281
26,256,79.3954,75.9078
26,256,78.6336,74.6604
26,256,79.4323,75.5555
26,256,79.9498,76.023
26,256,74.7932,70.643
26,256,82.1756,77.8564
26,256,74.4923,70.1949
26,256,78.8381,74.4692
26,256,79.9177,75.5473
26,256,80.9605,76.5937
26,512,95.2287,90.8263
26,512,92.5203,88.1145
26,512,93.9614,89.4767
26,512,94.5081,89.9572
26,512,84.4478,79.9081
26,512,93.4881,88.9944
26,512,86.5564,82.0447
26,512,85.0385,80.6099
26,512,84.2296,79.6942
