threads,curves,program_time,curve_time
1,64,156.451,148.86
1,64,152.807,148.347
1,64,151.996,148.365
1,64,151.533,148.2
1,64,151.581,148.171
1,64,151.56,148.175
1,64,152.361,148.419
1,64,151.642,148.171
1,64,151.483,148.132
1,64,151.596,148.204
1,128,301.253,297.974
1,128,300.535,296.52
1,128,300.044,296.429
1,128,299.928,296.371
1,128,299.884,296.345
1,128,300.151,296.416
1,128,299.994,296.365
1,128,300.985,296.673
1,128,300.012,296.394
1,128,300.008,296.462
1,256,599.371,595.74
1,256,599.638,595.964
1,256,599.492,595.818
1,256,599.789,596.012
1,256,599.759,596.022
1,256,599.707,595.834
1,256,599.748,596.009
1,256,600.621,597.032
1,256,602.951,599.034
1,256,602.41,598.611
1,512,1200.27,1196.56
1,512,1199.19,1195.15
1,512,1200.72,1196.68
1,512,1196.91,1193.15
1,512,1197.22,1193.35
1,512,1197.07,1193.1
1,512,1197.45,1193.59
1,512,1196.71,1192.86
1,512,1199.98,1196.05
1,512,1197.9,1193.76
1,1024,2390.94,2387.12
1,1024,2391.38,2387.26
1,1024,2391.78,2387.89
1,1024,2395.91,2391.83
1,1024,2393.27,2388.92
1,1024,2391.81,2387.69
1,1024,2391.47,2387.5
1,1024,2391.09,2387.04
1,1024,2391.31,2387.37
1,1024,2391.5,2387.43
2,64,125.35,121.407
2,64,120.442,117.142
2,64,120.402,116.973
2,64,115.504,112.112
2,64,114.884,111.545
2,64,119.898,116.48
2,64,145.239,141.957
2,64,146.007,141.659
2,64,124.378,120.715
2,64,119.47,116.13
2,128,222.802,219.392
2,128,238.139,234.526
2,128,214.719,210.662
2,128,236.461,232.828
2,128,234.561,230.945
2,128,237.101,233.424
2,128,233.317,229.714
2,128,224.939,221.313
2,128,236.156,232.543
2,128,286.176,282.549
2,256,456.641,452.874
2,256,577.864,574.058
2,256,470.739,466.7
2,256,471.556,467.706
2,256,448.834,444.88
2,256,461.333,457.429
2,256,450.756,446.867
2,256,459.457,455.332
2,256,571.237,567.272
2,256,561.925,558.002
2,512,1108.49,1104.52
2,512,906.174,902.272
2,512,973.15,969.028
2,512,911.01,907
2,512,1125.51,1121.45
2,512,911.194,907.01
2,512,858.815,854.814
2,512,917.881,914.057
2,512,940.919,936.969
2,512,874.57,870.398
2,1024,2261.79,2257.57
2,1024,1755.17,1751.09
2,1024,1866.38,1862.32
2,1024,1877.01,1872.8
2,1024,1946.84,1942.84
2,1024,1776.6,1772.43
2,1024,1816.27,1812.26
2,1024,1759.8,1755.66
2,1024,1751.04,1747.04
2,1024,1859.1,1855.03
4,64,67.0684,63.0481
4,64,61.1225,57.7654
4,64,60.3622,56.9745
4,64,61.7248,58.4269
4,64,60.9249,57.59
4,64,82.7176,79.4137
4,64,61.5395,58.2761
4,64,60.6751,57.3734
4,64,58.9422,55.7291
4,64,59.743,56.4171
4,128,117.64,113.483
4,128,113.836,110.212
4,128,169.653,166.137
4,128,116.743,112.916
4,128,116.368,112.926
4,128,123.357,119.882
4,128,180.39,176.834
4,128,116.73,112.811
4,128,115.521,111.663
4,128,116.286,112.455
4,256,248.407,244.446
4,256,252.736,248.099
4,256,253.25,248.922
4,256,234.802,230.32
4,256,222.739,218.542
4,256,227.908,223.62
4,256,227.062,222.89
4,256,244.621,240.44
4,256,233.16,229.321
4,256,225.425,221.446
4,512,467.347,463.429
